NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,TinyURL,iFrame,Mouse_Over,Web_Forwards,Label
2,3,11,117,1,1,0,0,1,0,1,0,0,7,0,0,,0,17,83,16,0,0,1,1,1,1
2,3,3,112,0,0,0,0,1,0,1,0,0,28,0,0,,0,11,25,75,0,0,1,1,1,1
2,3,4,45,0,0,0,0,0,0,0,0,0,0,0,0,,0,26,19,0,0,0,1,1,1,1
1,2,3,33,1,1,0,0,0,0,0,0,0,0,0,0,,0,16,17,0,0,0,1,1,1,1
22,23,3,165,0,0,0,0,0,0,0,0,0,25,0,0,,0,104,61,0,0,0,1,1,1,1
3,4,3,22,0,0,0,0,0,0,0,0,0,10,0,0,,0,13,9,0,0,0,1,1,1,1
1,2,2,12,0,0,0,0,0,0,0,0,0,0,0,0,,0,11,1,0,0,0,1,1,1,1
3,4,4,371,10,4,0,0,8,3,3,2,0,48,0,0,,0,45,34,291,0,0,1,1,1,1
4,5,4,51,0,0,0,0,0,0,0,0,0,0,0,0,,0,22,29,0,0,0,1,1,1,1
4,5,3,34,0,0,0,0,1,0,0,0,0,10,0,0,,0,13,21,0,0,0,1,1,1,1
3,4,4,41,1,1,0,0,0,0,0,0,0,0,0,0,,0,21,20,0,0,0,1,1,1,1
3,4,3,37,0,0,0,0,0,0,0,0,0,0,0,0,,0,20,17,0,0,0,1,1,1,1
3,4,4,55,0,0,0,0,0,0,0,0,0,21,0,1,,0,17,38,0,0,0,1,1,1,1
4,5,3,125,1,0,0,0,1,0,2,1,0,36,0,1,,0,8,25,91,0,0,1,1,1,1
3,4,5,48,1,1,0,0,0,0,0,0,0,0,0,0,,0,19,29,0,1,0,1,1,1,1
5,6,9,93,4,4,0,0,0,0,0,0,0,0,0,0,,0,12,81,0,0,1,1,1,1,1
20,21,4,421,0,0,0,0,1,0,2,1,0,169,0,1,,0,162,101,157,0,1,1,1,1,1
2,3,6,106,2,1,0,0,3,0,1,0,0,1,0,0,,0,21,44,40,0,0,1,1,1,1
1,2,1,11,0,0,0,0,0,0,0,0,0,4,0,0,,0,11,12,0,0,0,1,1,1,1
3,4,4,371,5,4,0,0,1,3,3,2,0,50,0,0,,0,45,34,291,0,0,1,1,1,1
4,4,5,48,0,0,0,0,0,0,0,0,0,5,0,0,,0,15,26,6,0,0,1,1,1,1
1,2,5,51,1,1,0,0,0,0,0,0,0,5,0,0,,0,25,26,0,0,0,1,1,1,1
7,6,3,272,0,0,0,0,1,7,4,5,0,23,0,0,,0,33,42,196,0,0,1,1,1,1
1,2,2,21,0,0,0,0,0,0,0,0,0,0,0,0,,0,20,1,0,0,0,1,1,1,1
2,3,9,187,1,1,0,0,1,0,2,1,0,52,0,1,,0,16,82,88,0,0,1,1,1,1
6,3,3,80,1,0,0,0,0,0,2,1,0,2,0,0,,0,11,4,64,0,0,1,1,1,1
4,5,3,28,0,0,0,0,0,0,0,0,0,10,0,0,,0,12,16,0,0,0,1,1,1,1
1,2,4,142,0,0,0,0,0,0,0,0,0,57,0,1,,0,18,124,0,0,0,1,1,1,1
14,15,5,470,2,1,0,0,1,0,2,1,0,162,0,1,,0,234,79,156,0,0,1,1,1,1
8,9,4,196,5,3,0,0,1,0,2,1,0,56,0,1,,0,21,59,115,0,0,1,1,1,1
2,3,2,26,0,0,0,0,0,0,0,0,0,12,0,0,,0,25,1,0,0,0,1,1,1,1
3,3,3,94,0,0,1,0,1,0,1,1,0,23,0,1,,0,9,16,68,0,0,1,1,1,1
1,2,2,20,1,1,0,0,0,0,0,0,0,0,0,0,,0,19,1,0,0,0,1,1,1,1
7,8,2,59,1,1,0,0,0,0,1,0,0,0,0,0,,0,40,11,7,0,0,1,1,1,1
5,6,2,212,5,5,0,0,0,0,0,0,0,120,0,0,,0,202,10,0,0,0,1,1,1,1
1,2,7,146,0,0,0,0,1,0,0,0,0,59,0,1,,0,21,125,0,0,0,1,1,1,1
4,2,3,101,0,0,0,0,0,0,2,2,0,1,0,0,,0,13,8,79,0,0,1,1,1,1
15,16,2,140,0,0,0,0,0,0,1,0,0,1,0,0,,0,125,7,7,0,0,1,1,1,1
3,4,2,28,0,0,0,0,0,0,0,0,0,1,0,0,,0,16,12,0,0,0,1,1,1,1
1,2,2,22,0,0,0,0,0,0,0,0,0,2,0,0,,0,21,1,0,0,0,1,1,1,1
5,3,3,100,0,0,0,0,0,0,2,2,0,1,0,0,,0,13,4,82,0,0,1,1,1,1
2,3,5,53,0,0,0,0,0,0,0,0,0,0,0,0,,0,22,29,1,0,0,1,1,1,1
3,4,3,45,0,0,0,0,0,0,0,0,0,0,0,0,,0,19,26,0,0,0,1,1,1,1
4,5,3,119,0,0,0,0,0,0,1,0,0,24,0,0,,0,27,21,70,0,0,1,1,1,1
3,2,2,54,0,0,0,0,0,0,1,0,0,3,0,0,,0,10,7,36,0,1,1,1,1,1
7,8,6,97,1,1,0,0,3,0,2,1,0,14,0,0,,0,39,21,36,0,0,1,1,1,1
7,8,6,84,1,1,0,0,2,0,2,1,0,11,0,0,,0,39,21,23,0,0,1,1,1,1
1,2,2,25,1,1,0,0,0,0,0,0,0,2,0,0,,0,20,5,0,0,0,1,1,1,1
2,3,4,42,0,0,0,0,0,0,0,0,0,1,0,0,,0,14,28,0,0,0,1,1,1,1
1,2,2,21,0,0,0,0,0,0,1,0,0,9,0,0,,0,6,7,7,0,1,1,1,1,1
1,2,4,55,0,0,0,0,0,0,0,0,0,0,0,0,,0,25,30,0,0,0,1,1,1,1
3,4,2,29,0,0,0,0,0,0,0,0,0,0,0,0,,0,18,11,0,0,0,1,1,1,1
3,4,2,144,3,1,0,0,1,0,2,1,0,41,0,1,,0,33,1,109,0,1,1,1,1,1
2,3,6,40,0,0,0,0,0,0,0,0,0,1,0,0,,0,13,27,0,0,0,1,1,1,1
1,2,2,26,1,1,0,0,0,0,0,0,0,0,0,0,,0,15,11,0,0,0,1,1,1,1
2,3,2,39,1,1,0,0,0,0,1,0,0,0,0,0,,0,14,13,11,0,0,1,1,1,1
2,3,4,96,0,0,0,0,1,8,0,0,0,6,0,0,,0,24,38,33,0,0,1,1,1,1
12,13,6,317,8,7,0,0,1,0,2,1,0,85,0,1,,1,96,64,156,0,0,1,1,1,1
16,4,5,285,1,1,1,0,0,1,4,10,0,64,0,0,,0,13,39,232,0,0,1,1,1,1
