NumDots,NumNumericChars,SubdomainLevel,RandomString,UrlLength,QueryLength,PathLevel,NumDashInHostname,HostnameLength,NumDash,NumQueryComponents,HttpsInHostname,IpAddress,NumUnderscore,Label
2,0,3,0,32,0,3,0,16,0,0,0,0,1,0
1,0,2,0,16,0,2,0,15,0,0,0,0,0,0
2,2,3,0,59,0,3,2,10,2,0,0,0,2,0
1,8,2,0,76,0,6,0,17,0,0,0,0,0,0
2,3,3,0,54,0,4,0,19,0,0,0,0,1,0
1,0,2,0,19,0,2,1,18,1,0,0,0,0,0
1,1,2,0,31,13,2,0,11,0,1,0,0,0,0
1,9,2,0,42,0,4,3,10,3,0,0,0,0,0
3,0,4,0,27,0,2,0,17,0,0,0,0,0,0
2,0,3,0,40,0,5,0,14,0,0,0,0,0,0
1,0,2,0,38,0,3,1,21,1,0,0,0,0,0
3,0,4,0,38,0,3,0,22,0,0,0,0,0,0
2,0,3,0,52,0,3,0,29,0,0,0,0,2,0
3,0,4,0,54,0,5,0,18,0,0,0,0,0,0
2,0,3,0,32,0,4,0,9,0,0,0,0,1,0
2,0,3,0,46,0,5,0,14,0,0,0,0,0,0
1,1,2,0,42,0,4,2,9,2,0,0,0,0,0
1,0,2,0,36,0,4,0,12,0,0,0,0,1,0
1,10,2,0,65,0,4,4,10,4,0,0,0,0,0
2,0,3,0,25,0,3,0,16,0,0,0,0,0,0
2,5,3,0,45,0,5,0,24,0,0,0,0,0,0
3,0,4,0,24,0,3,0,16,0,0,0,0,0,0
2,0,3,0,64,0,4,2,32,2,0,0,0,0,0
1,10,2,0,62,12,4,0,14,0,1,0,0,0,0
2,0,3,0,25,0,3,0,16,0,0,0,0,0,0
2,0,3,0,26,0,2,0,25,0,0,0,0,0,0
2,0,3,0,31,0,2,0,20,0,0,0,0,1,0
2,9,3,0,67,0,5,4,16,4,0,0,0,0,0
1,0,2,0,43,0,6,0,13,0,0,0,0,0,0
1,0,2,0,30,0,3,0,12,0,0,0,0,0,0
3,6,4,0,34,0,4,0,16,0,0,0,0,1,0
3,0,4,0,31,0,2,0,30,0,0,0,0,0,0
1,0,2,0,43,0,3,0,24,0,0,0,0,0,0
2,0,3,0,37,0,2,1,13,1,0,0,0,1,0
1,5,2,0,39,0,6,1,12,1,0,0,0,0,0
1,0,2,0,17,0,2,0,16,0,0,0,0,0,0
2,0,3,0,33,0,3,0,16,0,0,0,0,1,0
2,1,3,0,44,0,5,0,16,0,0,0,0,0,0
1,12,2,0,68,0,4,3,12,3,0,0,0,0,0
2,4,3,0,51,0,3,4,16,4,0,0,0,0,0
1,6,2,0,58,0,3,0,12,0,0,0,0,1,0
1,0,2,0,19,0,2,0,18,0,0,0,0,0,0
3,0,4,0,28,0,2,0,18,0,0,0,0,0,0
1,2,2,0,27,0,3,0,11,0,0,0,0,1,0
1,0,2,0,20,0,2,0,19,0,0,0,0,0,0
1,0,2,0,58,0,3,5,15,5,0,0,0,0,0
1,0,2,0,20,0,2,0,12,0,0,0,0,0,0
2,0,3,0,34,0,3,0,20,0,0,0,0,1,0
2,9,3,0,37,0,2,0,11,0,0,0,0,2,0
1,9,2,0,104,0,6,10,14,10,0,0,0,0,0
2,4,3,0,39,0,2,1,21,1,0,0,0,0,0
1,0,2,0,39,0,4,2,19,2,0,0,0,0,0
3,10,4,0,68,0,3,4,17,4,0,0,0,0,0
2,0,3,0,61,0,3,0,16,0,0,0,0,3,0
2,0,3,0,28,0,2,0,16,0,0,0,0,0,0
1,1,2,0,55,0,3,0,21,0,0,0,0,3,0
2,0,3,0,53,0,3,0,16,0,0,0,0,3,0
1,0,2,0,31,0,5,1,9,1,0,0,0,0,0
1,14,2,0,67,0,6,4,6,4,0,0,0,0,0
2,1,3,0,59,0,2,0,35,0,0,0,0,0,0
2,0,3,0,23,0,2,0,22,0,0,0,0,0,0
2,0,3,0,38,0,4,0,8,0,0,0,0,0,0
1,0,2,0,31,0,3,0,16,0,0,0,0,0,0
1,0,2,0,10,0,2,0,9,0,0,0,0,0,0
1,13,2,0,65,0,6,5,11,5,0,0,0,0,0
1,0,2,0,24,0,2,0,11,0,0,0,0,1,0
2,0,3,0,52,0,5,2,20,2,0,0,0,0,0
1,5,2,0,30,15,2,0,11,0,1,0,0,0,0
2,0,3,0,59,0,3,3,16,3,0,0,0,0,0
3,4,4,0,36,0,4,0,10,0,0,0,0,0,0
2,0,3,0,32,0,3,0,16,0,0,0,0,1,0
3,2,4,0,76,0,3,0,14,0,0,0,0,7,0
1,0,2,0,25,0,5,0,7,0,0,0,0,0,0
1,3,2,0,31,13,2,0,11,0,1,0,0,0,0
1,10,2,0,43,0,5,1,10,1,0,0,0,0,0
1,0,2,0,21,0,2,0,13,0,0,0,0,0,0
2,3,3,0,73,30,4,0,13,0,1,0,0,0,0
3,6,4,0,67,0,4,3,24,3,0,0,0,0,0
2,6,3,0,52,16,3,0,10,0,1,0,0,0,0
2,0,3,0,35,0,3,0,16,0,0,0,0,1,0
3,0,4,0,56,0,5,0,15,0,0,0,0,1,0
2,4,3,0,27,0,3,0,14,0,0,0,0,0,0
3,2,4,0,79,0,6,0,25,0,0,0,0,1,0
2,8,3,0,61,0,6,1,19,1,0,0,0,1,0
1,0,2,0,16,0,2,0,15,0,0,0,0,0,0
1,2,2,0,32,14,3,0,11,0,1,0,0,0,0
2,0,3,0,37,0,4,1,15,1,0,0,0,0,0
2,0,3,0,66,0,4,5,21,5,0,0,0,0,0
2,0,3,0,38,0,2,1,13,1,0,0,0,0,0
2,0,3,0,97,0,7,0,11,0,0,0,0,7,0
1,0,2,0,22,0,2,0,21,0,0,0,0,0,0
2,0,3,0,32,0,3,1,15,1,0,0,0,0,0
3,0,4,0,51,0,3,0,16,0,0,0,0,3,0
5,3,6,0,77,0,4,0,41,0,0,0,0,0,0
1,0,2,0,32,0,2,0,11,0,0,0,0,0,0
2,9,3,0,86,38,4,0,10,2,2,0,0,0,0
2,0,3,0,41,0,2,0,27,0,0,0,0,1,0
3,0,4,0,30,0,2,1,16,1,0,0,0,0,0
3,7,4,0,41,0,5,0,16,0,0,0,0,0,0
2,4,3,0,27,0,3,0,14,0,0,0,0,0,0
4,0,5,0,37,0,2,0,20,0,0,0,0,0,0
2,16,3,0,64,0,6,2,25,2,0,0,0,0,0
2,8,3,0,67,29,2,0,27,0,2,0,0,0,0
2,0,3,0,27,0,2,0,26,0,0,0,0,0,0
3,0,4,0,87,0,4,4,24,4,0,0,0,0,0
2,5,3,0,35,8,2,0,16,0,1,0,0,0,0
2,3,3,0,49,0,3,0,17,0,0,0,0,5,0
1,7,2,0,44,0,6,1,12,1,0,0,0,0,0
1,12,2,0,86,0,6,0,17,0,0,0,0,0,0
3,4,3,0,74,29,3,0,19,2,1,0,0,0,0
1,6,2,0,48,0,4,1,11,1,0,0,0,0,0
3,0,4,0,32,0,3,0,14,0,0,0,0,0,0
1,6,2,0,40,0,4,1,16,1,0,0,0,0,0
2,0,3,0,44,0,4,1,23,1,0,0,0,1,0
1,0,2,0,58,0,3,6,19,6,0,0,0,0,0
2,0,3,0,24,0,2,0,23,0,0,0,0,0,0
1,9,2,0,40,0,4,1,12,1,0,0,0,0,0
2,0,3,0,24,0,3,0,16,0,0,0,0,0,0
