NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,TinyURL,iFrame,Mouse_Over,Web_Forwards,Label
1,2,6,35,0,0,0,0,0,0,0,0,0,3,0,0,,0,7,28,0,0,0,1,1,1,0
1,2,4,38,1,1,0,0,0,0,0,0,0,6,0,0,,0,18,20,0,0,0,1,1,1,0
2,3,3,26,0,0,0,0,0,0,0,0,0,0,0,0,,0,16,10,0,0,0,1,1,1,0
2,3,2,42,0,0,0,0,0,0,3,2,0,2,0,0,,0,16,9,16,0,0,1,1,1,0
1,2,5,44,0,0,0,0,1,0,1,0,0,6,0,0,,0,9,20,14,0,0,1,1,1,0
2,3,2,55,0,0,0,0,0,0,0,0,0,0,0,0,,0,24,31,0,0,0,1,1,1,0
1,2,2,17,0,0,0,0,0,0,0,0,0,0,0,0,,0,16,1,0,0,0,1,1,1,0
2,3,4,65,3,3,0,0,0,0,0,0,0,3,0,0,,0,13,52,0,0,1,1,1,1,0
1,2,2,30,0,0,0,0,0,0,0,0,0,0,0,0,,0,13,17,0,0,0,1,1,1,0
1,2,3,27,0,0,0,0,0,0,0,0,0,0,0,0,,0,17,10,0,0,0,1,1,1,0
3,4,3,64,3,3,0,0,0,0,0,0,0,0,0,0,,0,10,54,0,0,0,1,1,1,0
1,2,3,26,0,0,0,0,0,0,0,0,0,0,0,0,,0,7,19,0,0,0,1,1,1,0
1,2,6,68,2,2,0,0,0,0,0,0,0,0,0,0,,0,14,54,0,0,0,1,1,1,0
2,3,2,28,0,0,0,0,0,0,0,0,0,0,0,0,,0,27,1,0,0,0,1,1,1,0
3,4,4,70,6,6,0,0,0,0,0,0,0,6,0,0,,0,23,47,0,0,1,1,1,1,0
2,3,3,29,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,14,0,0,0,1,1,1,0
1,2,4,38,2,2,0,0,0,0,0,0,0,8,0,0,,0,11,27,0,0,0,1,1,1,0
2,3,4,46,0,0,0,0,2,0,0,0,0,2,0,0,,0,13,33,0,0,0,1,1,1,0
2,3,3,31,0,0,0,0,1,0,0,0,0,0,0,0,,0,16,15,0,0,0,1,1,1,0
2,3,3,52,0,0,0,0,0,0,1,0,0,6,0,0,,0,18,23,10,0,0,1,1,1,0
1,2,5,91,1,1,0,0,0,0,0,0,0,1,0,0,,0,10,81,0,0,0,1,1,1,0
3,4,4,34,0,0,0,0,0,0,0,0,0,0,0,0,,0,21,13,0,0,0,1,1,1,0
2,3,2,47,1,1,0,0,2,0,0,0,0,0,0,0,,0,17,30,0,0,0,1,1,1,0
1,2,4,32,0,0,0,0,0,0,0,0,0,2,0,0,,0,9,23,0,0,0,1,1,1,0
1,2,2,20,0,0,0,0,0,0,0,0,0,0,0,0,,0,19,1,0,0,0,1,1,1,0
2,3,6,69,2,2,0,0,0,0,0,0,0,3,0,0,,0,17,52,0,0,1,1,1,1,0
2,3,3,30,0,0,0,0,0,0,0,0,0,0,0,0,,0,16,14,0,0,0,1,1,1,0
2,3,2,30,0,0,0,0,1,0,0,0,0,0,0,0,,0,16,14,0,0,0,1,1,1,0
2,3,2,283,3,1,0,0,1,32,2,1,0,165,0,0,,0,12,13,257,0,0,1,1,1,0
1,2,2,27,0,0,0,0,0,0,1,0,0,0,0,0,,0,18,1,7,0,0,1,1,1,0
2,3,4,92,8,8,0,0,2,0,0,0,0,19,0,0,,0,25,67,0,0,0,1,1,1,0
3,4,2,86,0,0,0,0,1,0,3,2,0,6,0,0,,0,17,29,39,0,0,1,1,1,0
4,5,3,69,1,1,0,0,0,0,3,2,0,5,0,0,,0,24,16,28,0,0,1,1,1,0
2,3,3,42,0,0,0,0,0,0,0,0,0,0,0,0,,0,13,29,0,0,0,1,1,1,0
1,2,3,39,3,3,0,0,0,0,0,0,0,0,0,0,,0,8,31,0,0,0,1,1,1,0
3,4,3,79,6,6,0,0,0,0,0,1,0,16,0,0,,0,21,58,0,0,0,1,1,1,0
1,2,2,18,0,0,0,0,0,0,0,0,0,0,0,0,,0,17,1,0,0,0,1,1,1,0
2,3,4,43,2,2,0,0,0,0,0,0,0,6,0,0,,0,17,26,0,0,0,1,1,1,0
3,4,3,38,0,0,0,0,0,0,0,0,0,0,0,0,,0,22,16,0,0,0,1,1,1,0
1,2,4,39,0,0,0,0,0,0,1,0,0,6,0,0,,0,12,17,9,0,0,1,1,1,0
2,3,3,23,0,0,0,0,0,0,0,0,0,0,0,0,,0,18,5,0,0,0,1,1,1,0
1,2,2,28,1,1,0,0,0,0,0,0,0,0,0,0,,0,14,14,0,0,0,1,1,1,0
1,2,2,26,0,0,0,0,0,0,0,0,0,0,0,0,,0,11,15,0,0,0,1,1,1,0
3,4,2,55,0,0,0,0,0,0,1,0,0,9,0,0,,0,29,12,13,0,0,1,1,1,0
2,3,3,27,0,0,0,0,0,0,0,0,0,4,0,0,,0,14,13,0,0,0,1,1,1,0
1,2,2,23,1,1,0,0,0,0,0,0,0,10,0,0,,0,10,13,0,0,0,1,1,1,0
2,3,2,24,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,9,0,0,0,1,1,1,0
1,2,3,37,3,3,0,0,0,0,0,0,0,0,0,0,,0,17,20,0,0,0,1,1,1,0
3,4,5,65,1,1,0,0,0,0,0,0,0,6,0,0,,0,27,38,0,0,1,1,1,1,0
1,2,2,20,0,0,0,0,0,0,0,0,0,0,0,0,,0,11,9,0,0,0,1,1,1,0
1,2,2,24,0,0,0,0,0,0,0,0,0,4,0,0,,0,11,13,0,0,0,1,1,1,0
3,4,3,58,2,2,0,0,0,0,0,0,0,0,0,0,,0,15,43,0,0,0,1,1,1,0
2,3,4,31,0,0,0,0,0,0,0,0,0,0,0,0,,0,17,14,0,0,0,1,1,1,0
1,2,5,53,0,0,0,0,1,0,0,0,0,1,0,0,,0,15,38,0,0,0,1,1,1,0
2,3,2,33,0,0,0,0,0,0,0,0,0,1,0,0,,0,21,12,0,0,0,1,1,1,0
1,2,4,24,0,0,0,0,0,0,0,0,0,7,0,0,,0,8,16,0,0,0,1,1,1,0
4,5,3,42,0,0,0,0,0,0,0,0,0,0,0,0,,0,11,31,0,0,1,1,1,1,0
2,3,2,16,0,0,0,0,0,0,0,0,0,0,0,0,,0,10,6,0,0,0,1,1,1,0
1,2,2,24,0,0,0,0,0,0,0,0,0,0,0,0,,0,23,1,0,0,0,1,1,1,0
3,4,2,43,0,0,0,0,0,0,0,0,0,7,0,0,,0,30,13,0,0,0,1,1,1,0
2,3,3,24,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,9,0,0,0,1,1,1,0
1,2,3,43,0,0,0,0,1,0,0,0,0,0,0,0,,0,21,22,0,0,0,1,1,1,0
1,2,4,54,1,1,0,0,0,0,1,0,0,12,0,0,,0,12,32,9,0,0,1,1,1,0
2,3,2,31,0,0,0,0,1,0,0,0,0,0,0,0,,0,19,12,0,0,0,1,1,1,0
4,5,3,42,0,0,0,1,0,0,0,0,0,0,0,0,,0,19,23,0,0,0,1,1,1,0
1,2,5,81,8,8,0,0,0,0,0,0,0,8,0,0,,0,10,71,0,0,1,1,1,1,0
