PathLength,UrlLength,HostnameLength,NumNumericChars,PathLevel,NumDots,SubdomainLevel,NumUnderscore,NumDashInHostname,RandomString,Label
9,24,15,0,3,2,3,0,0,0,0
22,43,21,0,3,1,2,1,0,0,0
32,54,12,12,4,1,2,0,1,0,0
12,31,19,0,2,2,3,1,0,0,0
23,42,19,0,3,4,5,0,0,0,0
71,81,10,8,5,1,2,0,8,0,0
33,49,16,0,3,2,3,2,0,0,0
11,34,23,0,2,3,4,0,0,0,0
56,77,21,4,3,1,2,0,7,0,0
1,10,9,0,2,1,2,0,1,0,0
9,27,18,0,2,3,4,0,0,0,0
11,34,23,4,4,1,2,0,2,0,0
15,61,20,15,3,3,4,0,0,0,0
15,61,20,14,3,3,4,0,0,0,0
20,33,13,0,3,3,4,0,0,0,0
100,113,13,6,4,1,2,10,1,0,0
10,18,8,0,4,1,2,0,1,0,0
1,35,34,0,2,2,3,0,0,0,0
14,58,10,16,2,3,3,0,0,0,0
7,19,12,0,2,1,2,0,0,0,0
18,31,13,0,2,2,3,0,1,0,0
21,46,17,5,3,2,3,0,0,0,0
48,57,9,5,3,1,2,0,0,0,0
32,43,11,3,3,2,3,2,0,0,0
15,33,18,0,3,3,4,0,1,0,0
6,31,11,1,2,1,2,0,0,0,0
78,90,12,13,6,1,2,0,6,0,0
62,81,19,8,3,2,3,0,6,0,0
10,75,14,7,2,2,3,1,0,0,0
32,42,10,20,5,1,2,0,0,0,0
13,27,14,4,3,2,3,0,0,0,0
9,36,12,2,2,2,3,0,0,0,0
21,33,12,0,5,1,2,0,0,0,0
35,52,17,0,3,1,2,4,0,0,0
16,32,16,0,3,2,3,1,0,0,0
16,29,13,0,3,2,3,0,1,0,0
44,57,13,0,4,2,3,4,0,0,0
6,31,11,3,2,1,2,0,0,0,0
54,64,10,10,4,1,2,0,4,0,0
32,43,11,1,4,1,2,0,2,0,0
137,159,22,0,6,1,2,0,14,0,0
33,43,10,0,4,2,3,0,2,0,0
22,36,14,1,4,1,2,1,0,0,0
88,107,19,14,6,1,2,0,10,0,0
26,45,19,0,3,2,3,2,0,0,0
6,18,12,0,2,1,2,0,0,0,0
34,46,12,9,4,1,2,0,1,0,0
1,28,27,0,2,2,3,0,0,0,0
22,37,15,0,4,1,2,1,0,0,0
11,42,16,7,2,2,3,0,0,0,0
38,51,13,0,3,2,3,3,0,0,0
11,29,18,0,2,2,3,0,0,0,0
24,44,20,0,4,4,5,0,0,0,0
66,84,18,5,3,2,3,0,8,0,0
55,75,20,0,5,3,4,0,3,0,0
49,68,19,7,5,2,3,0,0,0,0
6,31,11,0,2,1,2,0,0,0,0
12,28,16,0,4,2,3,0,0,0,0
99,111,12,0,6,1,2,11,0,0,0
32,44,12,0,3,2,3,0,0,0,0
19,35,16,2,3,1,2,0,2,0,0
1,33,32,0,2,2,3,0,0,0,0
12,26,14,3,3,2,3,0,0,0,0
64,81,17,6,4,2,3,0,7,0,0
108,133,25,14,8,1,2,0,17,0,0
22,33,11,0,2,2,3,0,0,0,0
14,76,11,4,2,2,3,0,0,0,0
6,31,11,1,2,1,2,0,0,0,0
14,92,11,12,3,4,3,0,0,0,0
30,43,13,0,4,2,3,0,0,0,0
16,28,12,0,3,1,2,0,1,0,0
16,26,10,2,3,1,2,0,1,0,0
35,51,16,0,3,2,3,3,0,0,0
21,33,12,0,4,2,3,0,0,0,0
37,51,14,6,5,1,2,0,1,0,0
17,29,12,3,3,1,2,0,0,0,0
28,41,13,0,4,3,4,0,0,0,0
12,28,16,0,3,2,3,0,0,0,0
5,23,18,3,3,2,3,0,0,0,0
17,33,16,0,3,2,3,1,0,0,0
25,41,16,7,5,3,4,0,0,0,0
37,54,17,1,2,2,3,0,6,0,0
27,35,8,0,5,1,2,0,0,0,0
11,26,15,0,3,2,3,0,0,0,0
120,133,13,8,6,1,2,0,17,0,0
1,23,22,0,2,1,2,0,0,0,0
20,37,17,0,2,2,3,0,2,0,0
25,43,18,7,3,1,2,0,2,0,0
17,41,24,0,2,2,3,0,0,0,0
1,20,19,0,2,1,2,0,0,0,0
77,101,24,8,5,2,3,0,11,0,0
16,32,16,0,3,2,3,1,0,0,0
1,16,15,0,2,1,2,0,0,0,0
49,59,10,2,3,2,3,2,2,0,0
59,76,17,8,6,1,2,0,0,0,0
35,54,19,3,4,2,3,1,0,0,0
1,19,18,0,2,1,2,0,1,0,0
6,31,11,1,2,1,2,0,0,0,0
32,42,10,9,4,1,2,0,3,0,0
